	"""Asia"""	"""British"""	"""Hispanic"""	"""Muslim"""	"""Europe"""	"""Africa"""
47	0.00043836995754428467	0.9723029203641281	0.0015198075721236934	3.8566001972292844e-06	0.025356148283247622	0.000378897222758831
48	1.6128994487240128e-06	0.8353251305202092	0.00043821177314790777	1.2255052252008223e-08	0.16414730362706348	8.772892507600566e-05
49	3.6451573584056894e-06	0.0007645709290224997	0.987427939459757	2.171075395316225e-06	0.009505746734713707	0.0022959266437457015
50	0.4682546328103617	0.05021899469480912	6.011768766850636e-07	0.27332731219220824	0.18032879440700847	0.027869664718731188
51	0.07088359165747324	0.2974842084821265	0.262754762307859	0.040965363988510306	0.3046528710121806	0.023259202551849975
52	9.167777531868384e-07	0.9968036523614978	2.6148241157545753e-06	4.082872256188133e-06	0.0030853937349815397	0.00010333942939361452
53	0.4193948551007321	0.3647199018160027	0.00898462312814262	0.0009150354617157088	0.2043156762578641	0.0016699082355432762
54	0.010352122093463334	0.20787886684454246	0.021264426150932447	4.345447440988891e-05	0.7356848900084196	0.0247762404282363
55	0.0001391196581805626	0.2124873785388731	0.025007694713174936	0.1880491764679128	0.5561739770667923	0.018142653555064753
56	4.2362695873371635e-06	0.7819938662574961	0.1882553549042472	1.5949209296659657e-06	0.029123839081706904	0.0006211085660332873
57	0.0010388261385893508	0.393745429472176	0.42308923569903345	3.5641779992210644e-05	0.17740174194137334	0.004689124968841238
58	0.3962928363197174	0.42344158086755407	0.0001394204171056892	0.11658328862175829	0.05160299931469173	0.011939874459167143
59	0.015814163315027045	0.9531581915478554	0.002412866858178551	7.313628988758691e-06	0.027776836299338095	0.0008306283506154344
60	0.04918489300947802	0.8204393317825273	0.0007876844526667279	2.7802359417566573e-05	0.09412643038459353	0.035433858011326716
61	4.544902972685322e-06	0.6641133224855165	0.0043743382047015675	5.8932002058823345e-05	0.33032682603029917	0.0011220363744486536
62	0.08335645645127632	0.23635923836703276	0.005555553106510279	2.788570189812497e-06	0.5498014102128292	0.12492455329216652
63	0.5634341948092385	0.40131947306468746	0.000863347594589809	0.018908329989451415	0.011908051845890026	0.003566602696142521
64	0.0025829646288764905	0.3666763545389209	0.002799735709916022	0.002836496990411033	0.6181635076434568	0.006940940488419137
65	0.0023324247570400804	0.8504913076455706	0.0001254239379970184	0.00428197180283327	0.1387484771265551	0.004020394730010625
66	0.00195314617812774	0.9556026240031008	0.0004604359957997993	4.680682858514933e-07	0.04096005136525274	0.0010232743894275217
67	0.019671459933629263	0.761532231987021	0.0019760518428523807	5.9527243028271804e-05	0.2103909609571496	0.006369768036317414
68	0.0001149415577794283	0.8140192213544598	0.006773509868017938	9.535402727259453e-06	0.17887050125461648	0.00021229056239176742
69	3.177379146754574e-05	0.9001270960941008	0.0042561979508885526	2.7922104498936215e-05	0.09235910295038802	0.0031979071086589697
70	0.000769715314347857	0.8177652686565342	0.0006561521419335279	1.4845182300004749e-05	0.16258959173510082	0.018204426969778194
71	0.00029046746234234955	0.0033604832710692873	0.0028606992824382243	6.645952771027176e-05	0.9910054626485045	0.002416427807934395
72	5.942285021126139e-05	0.9209507401451441	0.0006145275021913559	9.863670683031302e-06	0.07697684749381017	0.0013885983379617233
73	9.438405574843895e-06	0.9912699529774892	0.0002414740757726537	4.4824937451308937e-07	0.008449325687151323	2.9360604622786577e-05
74	6.337654719169901e-07	0.9680007823549687	6.449463878218376e-05	5.3708096793514995e-08	0.031886938881452394	4.709665124055208e-05
75	0.00027361348734291485	0.81538369807849	0.0005943829750768377	0.0015327464570104167	0.17966949048157496	0.0025460685205070384
76	0.013266458324541722	0.9602537588975933	0.00010028810718558391	0.004792135002629217	0.018393106983577708	0.0031942526844733043
77	7.099302204687153e-06	0.00021765748652625638	2.725508964497807e-08	1.7996024288184903e-06	0.9997565398794402	1.687647431128368e-05
78	0.0002167372117990373	0.9431323261825224	0.00022497097130629086	9.290315680684103e-07	0.05640955825589489	1.5478346910665586e-05
79	0.004298165611940475	0.22049117919969838	0.21391866569074294	4.782636124882446e-05	0.35744833663713815	0.20379582649923914
80	0.000376216190112364	0.9640713067110243	0.0003266383328177712	0.002802126039043207	0.03136904818924958	0.0010546645377631709
81	1.1661902525535525e-05	0.25822078892651956	0.06797791351933025	8.313519050644818e-05	0.6733275625520172	0.0003789379090987328
82	2.2762773528125735e-05	0.9557360310419807	0.004437203111204227	2.392342153487442e-06	0.03344916896280506	0.006352441768327154
83	0.00037246690849593024	0.9953422380250224	0.0004071700167776222	1.7148263617742204e-05	0.0037653048556915325	9.567193039847667e-05
84	0.024364326565946916	0.44616052106332027	0.16406790772867694	0.007859752748841936	0.31836638763099373	0.039181104262225985
85	0.007841570479345953	0.9237619724820638	0.0009586028891989753	0.0026328691665701625	0.038460003374757044	0.026344981608073123
86	0.02894214746525238	0.5042851901405139	0.26188786714612017	0.005447060456105494	0.16525477328549634	0.03418296150651057
87	1.4954043942563638e-06	0.3735281913665176	0.003588808310965098	0.00010439483508477851	0.6225743172288487	0.00020279285418783332
88	4.565333945680741e-06	0.6509905031328602	0.00021904655698185322	0.000298800683225694	0.3481640423789524	0.00032304191403876133
89	0.06708464531436631	0.8486717000068537	3.651199554295497e-06	1.4406839497899572e-05	0.08277263489696884	0.0014529617427539421
90	5.945012378286062e-07	0.5976950455885657	0.0017118959250679543	4.894343362227153e-07	0.3999689471355959	0.0006230274151958185
