	Israel	European	Muslim	SouthAsian	Hispanic	CelticEnglish	EastAsian	African
31	4.493817726167307e-09	0.9999997466681273	3.7547097127997736e-08	3.4731311867951054e-09	2.6935853721121493e-09	2.0262004670689466e-07	2.2946505507843065e-09	2.0954022055564103e-10
32	3.2174398284131444e-10	0.028651944883511124	2.7628006586823674e-11	2.147971669610424e-09	1.4527647352026793e-06	0.9713457321819842	2.3893236169893235e-11	8.676485312549087e-07
33	1.0950656228231252e-07	0.0019887587287723257	1.6466506799685982e-10	9.907632224004201e-08	7.884390499949743e-08	0.9980107496466557	2.2562112529804832e-11	2.0401055444718094e-07
34	8.197137207364956e-07	0.3570994533387362	2.0303588442326747e-06	0.0016441418784361311	1.9700436832279922e-07	0.6412238308508883	1.4459286398094029e-06	2.8080926358486907e-05
35	1.0018389459842943e-14	0.9851062571134712	1.1963813261326732e-14	1.5829588156395364e-09	2.52843102995641e-05	0.0148645247946908	1.0665312108659132e-12	3.9321975047704346e-06
36	2.2990640099725958e-07	0.02114663222573934	8.796502027031349e-09	1.7312167054817707e-06	0.9725269591124178	0.006280763897139817	3.446733867150771e-09	4.367139836128699e-05
37	9.721628880733289e-15	0.0002858101947656109	1.3743068481537772e-10	9.414417242651003e-12	3.4025018028623283e-06	0.999649967397514	2.012783010035753e-12	6.0819757042787645e-05
38	2.3917493403751767e-18	2.0148723760872287e-07	3.299801246569866e-17	1.454225635032768e-12	1.7609166242180522e-10	0.9999997934374036	2.846721302492391e-15	4.897815875105473e-09
39	6.823616633069569e-11	4.032809017588584e-07	8.096116528164311e-15	2.0717532322005343e-12	1.5902984115340194e-13	0.9999995797252582	1.1323170620129853e-13	1.692325186381002e-08
40	0.8497630472911568	0.005885054791560843	0.00018149746173797736	0.06533275148012037	0.021927420832614494	0.05572218217345866	0.0010090264182490503	0.00017901955109427342
41	2.8906460208639197e-10	2.5727145396355834e-09	1.1493330939387743e-10	2.4042019387329082e-06	1.092866638619988e-09	0.999913736677153	1.6037754226741498e-11	8.385503529380866e-05
42	1.284788049102804e-05	0.14236519756574514	4.281965669261764e-09	6.43757017539701e-07	0.005499903752028597	0.851970641040019	8.608868182559459e-08	0.0001506756340439558
43	5.971591472679543e-16	3.055568567157151e-10	3.107916942521643e-16	5.922055543412698e-13	9.126924181195428e-13	0.9999999933267958	1.3718503298213446e-12	6.364764083569862e-09
44	9.680389956747007e-06	0.000524927204030224	3.421405600305641e-09	5.963686625133362e-11	1.9302294795551874e-08	0.9994642400931792	5.66060366237097e-11	1.1294728934505281e-06
45	5.444584031418168e-13	0.9889565229788309	9.644056341805418e-14	4.6642439275739936e-12	8.894877930380683e-09	0.011043103143881636	4.325464764328616e-14	3.649770737701766e-07
46	4.756989080107619e-13	1.1770533241994657e-05	4.5080282256447195e-09	4.304790381924435e-07	2.1028297038908707e-07	0.9999112749634578	8.69019176469236e-09	7.630054259133206e-05
47	1.925747154687701e-09	5.604006677963545e-11	4.308450869271945e-10	1.8616562532868292e-11	6.061657887286214e-10	0.9999999779102071	3.5266274777874414e-09	1.552575626750843e-08
48	8.664697853086763e-10	0.001092809358664805	1.3296139755551547e-15	5.596429322398372e-10	2.25266166784064e-09	0.9989069410659677	6.035242837259394e-11	2.458362350322537e-07
49	3.730207333165845e-11	2.7643679368078216e-07	3.9105030791756604e-11	9.403990993225596e-08	2.301321824257937e-09	0.9999994807190189	1.856678038478786e-08	1.2785976291745192e-07
